study,entered.by,host.species,host.type,host.therm,parasite.species,parasite.type,parasite.group,parasite.measure,hp_sampled,iduration_bin,iduration_bin_clean,iduration_confidence,sample.size,experimental.design,study.duration,sampling.method,subset.studied,sex,age,condition.measure,cm.speed,condition.quantification,size.measure,external.measure,ott_id,phypc1,phypc2,close,nonclose,vector,intermediate,tmode,effect.direction,yi,yir,rlower,rupper,vi
Stephenson et al. 2015 Biology Letters,CST,Poecilia_reticulata,fish,ectotherm,Gyrodactylus,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,2998,observational,cross-sectional,LC,no,NA,NA,scaled mass index,NA,adjusted quantitative,body size,external,312452,NA,NA,NA,NA,NA,NA,NA,-1,-0.158863672,-0.157540577,-0.192254753,-0.122432625,0.00033389
Guagliardo et al. 2009 Helminthologia,AKD,Porichthys_porosissimus,fish,ectotherm,Scolex pleuronectis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,73,observational,cross-sectional,LC,no,NA,NA,ratio of weight to length,NA,adjusted quantitative,body size,external,362305,NA,NA,NA,NA,NA,NA,NA,-1,-0.298566264,-0.29,-0.487538919,-0.064217268,0.014285714
Galvan et al. 2012 Journal of Avian Biology,CAS,Prunella_collaris,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,699625,NA,NA,NA,NA,NA,NA,NA,1,0.611240885,0.545,0.120659176,0.800941079,0.0625
Harper 1999 Animal Behaviour,CAS,Prunella_modularis,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,34,observational,cross-sectional,LC,yes,M,A,pectoral muscle scores,NA,qualitative,not body size,external,875990,NA,NA,NA,NA,NA,NA,NA,-1,-0.202732554,-0.2,-0.504073616,0.148188126,0.032258065
Harper 1999 Animal Behaviour,CAS,Prunella_modularis,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,27,observational,cross-sectional,LC,yes,F,J,pectoral muscle scores,NA,qualitative,not body size,external,875990,NA,NA,NA,NA,NA,NA,NA,1,0.106399703,0.106,-0.28551493,0.467194673,0.041666667
Galvan et al. 2012 Journal of Avian Biology,CAS,Prunella_modularis,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,73,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,875990,NA,NA,NA,NA,NA,NA,NA,1,0.059068603,0.059,-0.173421292,0.285196035,0.014285714
Amo et al. 2007 Canadian Journal of Zoology,PB,Psammodromus_algirus,reptile,ectotherm,NR,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,48,observational,cross-sectional,LC,no,NA,NA,residuals of weight and SVL ?,NA,adjusted quantitative,body size,external,963735,NA,NA,NA,NA,NA,NA,NA,-1,-0.451058706,-0.422768874,-0.631094423,-0.157560914,0.022222222
Gangloff et al. 2008 Hydrobiologia,CST,Pyganodon_grandis,invertebrate,ectotherm,mites,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,29,observational,cross-sectional,LC,no,NA,NA,"metric from PCA including shell length, height, width, and dry mass",NA,adjusted quantitative,body size,external,785488,NA,NA,NA,NA,NA,NA,NA,-1,-0.638555031,-0.563914887,-0.77105952,-0.248838695,0.038461538
Gangloff et al. 2008 Hydrobiologia,CST,Pyganodon_grandis,invertebrate,ectotherm,trematodes,helminth,helminth,binary infection,hp randomly sampled,3,chronic,1,29,observational,cross-sectional,LC,no,NA,NA,"metric from PCA including shell length, height, width, and dry mass",slow,adjusted quantitative,body size,external,785488,NA,NA,NA,NA,NA,NA,NA,-1,-0.414667188,-0.392428337,-0.663504073,-0.030277369,0.038461538
Blanco et al. 1997 Journal of Avian Biology,CAS,Pyrrhocorax_pyrrhocorax,bird,endotherm,Gabucinia delibata,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,172,observational,cross-sectional,LC,yes,F,NA,residuals from the linear regression of body mass on PC1 (index of body size) factor scores,NA,adjusted quantitative,body size,external,662798,NA,NA,NA,NA,NA,NA,NA,1,0.192337169,0.19,0.041546779,0.330245364,0.00591716
Blanco et al. 1997 Journal of Avian Biology,CAS,Pyrrhocorax_pyrrhocorax,bird,endotherm,Gabucinia delibata,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,239,observational,cross-sectional,LC,yes,M,NA,residuals from the linear regression of body mass on PC1 (index of body size) factor scores,NA,adjusted quantitative,body size,external,662798,NA,NA,NA,NA,NA,NA,NA,1,0.161386696,0.16,0.033791038,0.281186051,0.004237288
Crespi et al. 2015 NA,PB,Rana_sylvatica,amphibian,ectotherm,Batrachochytrium dendrobatidis and Ranavirs,NA,NA,binary infection,hp not randomly sampled,NA,NA,NA,743,observational,cross-sectional,LC,yes,M,NA,residual of mass against SVL,NA,adjusted quantitative,body size,external,4133610,NA,NA,NA,NA,NA,NA,NA,-1,-0.030860716,-0.030850923,-0.102548665,0.041165716,0.001351351
Pollock et al. 2009 Arctic,DJB,Rangifer_tarandus,mammal,endotherm,Fascioloides magna,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,25,observational,cross-sectional,LC,no,NA,NA,kidney fat index,NA,raw quantitative,not body size,invasive,410153,NA,NA,0,0,0,1,intermediate,1,0.298566264,0.29,-0.118736694,0.614694329,0.045454545
Taylor et al. 2005 J. Parasitol.,PB,Redunca_fulvorufula,mammal,endotherm,about 17 spp,helminth,helminth,intensity,hp randomly sampled,5,NA,NA,41,observational,cross-sectional,LC,no,NA,NA,Kidney fat index (kidney fat wt/kidney tt)-100,medium,raw quantitative,not body size,invasive,1090928,NA,NA,NA,NA,NA,NA,NA,-1,-0.13073985,-0.13,-0.420819937,0.185051497,0.026315789
Taylor et al. 2005 J. Parasitol.,PB,Redunca_fulvorufula,mammal,endotherm,about 17 spp,helminth,helminth,intensity,hp randomly sampled,5,NA,NA,41,observational,cross-sectional,LC,no,NA,NA,Kidney fat intex (kidney fat wt/kidney wt)-100,medium,raw quantitative,not body size,invasive,1090928,NA,NA,NA,NA,NA,NA,NA,1,0.030009005,0.03,-0.280236895,0.334562595,0.026315789
Galvan et al. 2012 Journal of Avian Biology,CAS,Remiz_pendulinus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,68,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,746137,NA,NA,NA,NA,NA,NA,NA,1,0.069109817,0.069,-0.17225898,0.302449396,0.015384615
Kelehear et al. 2012 Parasitology,AM,Rhinella_marina,amphibian,ectotherm,Raillietiella frenatus,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,103,observational,cross-sectional,LC,no,M,NA,fatbody mass,NA,raw quantitative,not body size,invasive,889340,NA,NA,NA,NA,NA,NA,NA,1,0.050082048,0.050040218,-0.14488754,0.241228819,0.01
Kelehear et al. 2012 Parasitology,AM,Rhinella_marina,amphibian,ectotherm,Raillietiella frenatus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,296,observational,cross-sectional,LC,no,M,NA,fatbody mass,NA,raw quantitative,not body size,invasive,889340,NA,NA,NA,NA,NA,NA,NA,1,0.033871291,0.033858344,-0.080456743,0.147294312,0.003412969
Francova & Ondrackova 2013 Journal of Fish Biology,CST,Rhodeus_amarus,fish,ectotherm,"any macroparasites (ecto, endo, helminth, ...)",NA,NA,intensity,hp not randomly sampled,NA,NA,NA,21,observational,cross-sectional,LC,yes,NA,NA,mass/length cubed,NA,adjusted quantitative,body size,external,14765,NA,NA,NA,NA,NA,NA,NA,-1,-0.867300528,-0.7,-0.869070429,-0.384502461,0.055555556
Francova & Ondrackova 2013 Journal of Fish Biology,CST,Rhodeus_amarus,fish,ectotherm,digenea,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,21,observational,cross-sectional,LC,yes,NA,NA,mass/length cubed,NA,adjusted quantitative,body size,external,14765,NA,NA,NA,NA,NA,NA,NA,-1,-0.59014516,-0.53,-0.78262653,-0.127479843,0.055555556
Francova & Ondrackova 2013 Journal of Fish Biology,CST,Rhodeus_amarus,fish,ectotherm,monogenea,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,yes,NA,NA,mass/length cubed,NA,adjusted quantitative,body size,external,14765,NA,NA,NA,NA,NA,NA,NA,-1,-0.536060337,-0.49,-0.772319818,-0.046036776,0.0625
Galvan et al. 2012 Journal of Avian Biology,CAS,Riparia_riparia,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,696,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,922718,NA,NA,NA,NA,NA,NA,NA,1,0.249022949,0.244,0.172818102,0.31264639,0.001443001
Morgan et al. 2005 Journal of Wildlife Diseases,PB,Saiga_tatarica,mammal,endotherm,Marshallagia marshalli,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,44,observational,cross-sectional,LC,yes,F,J,body fat score,NA,qualitative,not body size,external,274566,NA,NA,0,1,0,0,non-close,-1,-0.538695667,-0.492,-0.688338159,-0.228494747,0.024390244
Galvan et al. 2012 Journal of Avian Biology,CAS,Saxicola_rubetra,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,12,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,170383,NA,NA,NA,NA,NA,NA,NA,-1,-0.249022949,-0.244,-0.717437424,0.383620803,0.111111111
Galvan et al. 2012 Journal of Avian Biology,CAS,Saxicola_torquata,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,377,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,825641,NA,NA,NA,NA,NA,NA,NA,-1,-0.031009936,-0.031,-0.131589741,0.070221623,0.002673797
Galvan et al. 2012 Journal of Avian Biology,CAS,Serinus_serinus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,624,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,1083724,NA,NA,NA,NA,NA,NA,NA,-1,-0.110446916,-0.11,-0.18687543,-0.031785559,0.001610306
Senar et al. 1994 Ardea,CST,Serinus_serinus,bird,endotherm,Ornithoica turdi,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,35,observational,cross-sectional,LC,no,NA,NA,mass/cube of wing length,NA,adjusted quantitative,body size,external,1083724,NA,NA,NA,NA,NA,NA,NA,-1,-0.336413041,-0.324271355,-0.593394337,0.010062575,0.03125
Latta 2003 The Auk,CAS,Setophaga_discolor,bird,endotherm,Knemidokoptes jamaicensis,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,256,observational,cross-sectional,LC,no,NA,NA,0-3 pectoral muscle score,NA,qualitative,not body size,external,532752,NA,NA,NA,NA,NA,NA,NA,-1,-0.136975779,-0.136125496,-0.2544804,-0.013753032,0.003952569
Latta 2003 The Auk,CAS,Setophaga_palmarum,bird,endotherm,Knemidokoptes jamaicensis,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,547,observational,cross-sectional,LC,no,NA,NA,0-3 pectoral muscle score,NA,qualitative,not body size,external,505064,NA,NA,NA,NA,NA,NA,NA,-1,-0.185546482,-0.183446101,-0.263233278,-0.10116645,0.001838235
Gunderson et al. 2009 Journal of Avian Biology,CAS,Sialia_sialis,bird,endotherm,feather degrading bacteria,bacterium,microparasite,intensity,hp randomly sampled,5,NA,NA,32,observational,longitudinal,LC,yes,M,NA,residuals of body mass regressed over wing length,rapid,adjusted quantitative,body size,external,775715,NA,NA,NA,NA,NA,NA,NA,1,0.375927707,0.3591657,0.01197096,0.629075,0.034482759
Gunderson et al. 2009 Journal of Avian Biology,CAS,Sialia_sialis,bird,endotherm,feather degrading bacteria,bacterium,microparasite,intensity,hp randomly sampled,5,NA,NA,36,observational,longitudinal,LC,yes,F,NA,residuals of body mass regressed over wing length,rapid,adjusted quantitative,body size,external,775715,NA,NA,NA,NA,NA,NA,NA,-1,-0.358068157,-0.343511281,-0.603894107,-0.016880617,0.03030303
Gunderson et al. 2009 Journal of Avian Biology,CAS,Sialia_sialis,bird,endotherm,non-feather degrading bacteria,bacterium,microparasite,intensity,hp not randomly sampled,NA,NA,NA,32,observational,longitudinal,LC,yes,M,NA,residuals of body mass regressed over wing length,NA,adjusted quantitative,body size,external,775715,NA,NA,NA,NA,NA,NA,NA,1,0.408617676,0.387298335,0.04463183,0.648423608,0.034482759
Gunderson et al. 2009 Journal of Avian Biology,CAS,Sialia_sialis,bird,endotherm,non-feather degrading bacteria,bacterium,microparasite,intensity,hp not randomly sampled,NA,NA,NA,36,observational,longitudinal,LC,yes,F,NA,residuals of body mass regressed over wing length,NA,adjusted quantitative,body size,external,775715,NA,NA,NA,NA,NA,NA,NA,-1,-0.433997114,-0.408656335,-0.649933204,-0.092545604,0.03030303
Allender et al. 2016 Journal of Wildlife Diseases,PB,Sistrurus_catenatus,reptile,ectotherm,NA,fungus,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,102,observational,cross-sectional,LC,no,NA,NA,body condition index,NA,adjusted quantitative,body size,external,755882,NA,NA,NA,NA,NA,NA,NA,-1,-0.133468879,-0.13268195,-0.318927463,0.063429641,0.01010101
Galvan et al. 2012 Journal of Avian Biology,CAS,Sitta_europaea,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,21,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,82242,NA,NA,NA,NA,NA,NA,NA,1,0.415343091,0.393,-0.046591094,0.705069663,0.055555556
Godfrey et al. 2009 Parasitology,CST,Sphenodon_punctatus,reptile,ectotherm,Amblyomma sphenodonti,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,42,observational,cross-sectional,LC,no,NA,NA,snout vent length/mass residual,NA,adjusted quantitative,body size,external,35890,NA,NA,NA,NA,NA,NA,NA,-1,-0.449849651,-0.42177541,-0.643248276,-0.135171831,0.025641026
Godfrey et al. 2009 Parasitology,CST,Sphenodon_punctatus,reptile,ectotherm,Amblyomma sphenodonti,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,42,observational,cross-sectional,LC,yes,NA,NA,snout vent length/mass residual,NA,adjusted quantitative,body size,external,35890,NA,NA,NA,NA,NA,NA,NA,-1,-0.594035558,-0.532791814,-0.720113633,-0.273081053,0.025641026
Godfrey et al. 2009 Parasitology,CST,Sphenodon_punctatus,reptile,ectotherm,Amblyomma sphenodonti,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,60,observational,cross-sectional,LC,no,NA,NA,snout vent length/mass residual,NA,adjusted quantitative,body size,external,35890,NA,NA,NA,NA,NA,NA,NA,-1,-0.377270854,-0.360335016,-0.562767628,-0.117127215,0.01754386
Godfrey et al. 2009 Parasitology,CST,Sphenodon_punctatus,reptile,ectotherm,Amblyomma sphenodonti,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,60,observational,longitudinal,LC,yes,NA,NA,snout vent length/mass residual,NA,adjusted quantitative,body size,external,35890,NA,NA,NA,NA,NA,NA,NA,-1,-0.394779689,-0.375473425,-0.574613354,-0.134358752,0.01754386
Godfrey et al. 2009 Parasitology,CST,Sphenodon_punctatus,reptile,ectotherm,Amblyomma sphenodonti,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,60,observational,longitudinal,LC,yes,NA,NA,snout vent length/mass residual,NA,adjusted quantitative,body size,external,35890,NA,NA,NA,NA,NA,NA,NA,-1,-0.29909414,-0.290483408,-0.50701055,-0.039470053,0.01754386
Galvan et al. 2012 Journal of Avian Biology,CAS,Spinus_spinus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,233,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,167338,NA,NA,NA,NA,NA,NA,NA,1,0.203774438,0.201,0.074400503,0.321223368,0.004347826
"Zago et al. 2013 Rev. Bras. Parasitol. Vet., Jaboticabal",AM,Steindachnerina_insculpta,fish,ectotherm,Sphincterodiplostomum musculosum,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,30,observational,cross-sectional,LC,no,NA,NA,condition factor K = weight length relationship,NA,adjusted quantitative,body size,external,1037854,NA,NA,NA,NA,NA,NA,NA,-1,-0.470991401,-0.439,-0.690120944,-0.093522056,0.037037037
Monticelli & Ramos 2012 Ibis,AKD,Sterna_dougallii,bird,endotherm,Amblyomma loculosum,ectoparasite,ectoparasite,binary infection,hp randomly sampled,1,acute,1,401,observational,cross-sectional,LC,yes,NA,J,"nestling body mass in relation to colony-average chick body mass
",rapid,adjusted quantitative,body size,external,285543,NA,NA,NA,NA,NA,NA,NA,-1,-0.128805095,-0.128097466,-0.223226456,-0.030551467,0.002512563
Galvan et al. 2012 Journal of Avian Biology,CAS,Sturnus_unicolor,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,51,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,366470,NA,NA,NA,NA,NA,NA,NA,-1,-0.143986873,-0.143,-0.402713356,0.138022943,0.020833333
Galvan et al. 2012 Journal of Avian Biology,CAS,Sturnus_vulgaris,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,34,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,565813,NA,NA,NA,NA,NA,NA,NA,-1,-0.083191387,-0.083,-0.409667258,0.26253445,0.032258065
Quillfeldt et al. 2014 Parasitology,DJB,Sula_dactylatra,bird,endotherm,Babesia,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,54,observational,cross-sectional,LC,yes,NA,J,body mass,NA,raw quantitative,body size,external,170197,NA,NA,NA,NA,NA,NA,NA,-1,-0.300540275,-0.29180696,-0.519014621,-0.026084503,0.019607843
Rubio-Godoy et al. 2011 J. Parasitol.,PB,Sula_leucogaster,bird,endotherm,Renicola thapari,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,20,observational,cross-sectional,LC,yes,M,NA,host weight/(beak length x ulna length),NA,adjusted quantitative,body size,external,1030310,NA,NA,NA,NA,NA,NA,NA,-1,-0.801724935,-0.665,-0.855706594,-0.315249756,0.058823529
Atwill et al. 1997 Applied and Environmental Mircobiology,CST,Sus_scrofa,mammal,endotherm,Cryptosporidium parvum,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,110,observational,cross-sectional,LC,no,NA,NA,mass~volume residual: categorical,NA,adjusted quantitative,body size,external,730013,0.305100803,-1.308236751,1,1,0,0,multiple modes,1,0.035741317,0.035726106,-0.152535734,0.221485962,0.009345794
Atwill et al. 1997 Applied and Environmental Mircobiology,CST,Sus_scrofa,mammal,endotherm,Giardia spp,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,110,observational,cross-sectional,LC,no,NA,NA,mass~volume residual: categorical,NA,adjusted quantitative,body size,external,730013,0.305100803,-1.308236751,NA,NA,NA,NA,NA,-1,-0.343609024,-0.330695565,-0.487736429,-0.152923084,0.009345794
Galvan et al. 2012 Journal of Avian Biology,CAS,Sylvia_atricapilla,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,494,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,1,0.188190607,0.186,0.099409254,0.26979484,0.00203666
Santiago-Alercon et al. 2013 J. Avian. Biol.,AKD,Sylvia_atricapilla,bird,endotherm,Haemoproteus parabelopolskyi,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,297,observational,cross-sectional,LC,no,NA,NA,residual of body weight against wing length,NA,adjusted quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,-1,-0.06976485,-0.069651885,-0.182021117,0.044513136,0.003401361
Renner et al. 2016 International Journal for Parasitology,CAS,Sylvia_atricapilla,bird,endotherm,haemosporidian parasites,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,137,observational,cross-sectional,LC,no,NA,NA,primary 3 asymmetry,NA,raw quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,1,0.074356539,0.074219805,-0.094674169,0.238960755,0.007462687
Renner et al. 2016 International Journal for Parasitology,CAS,Sylvia_atricapilla,bird,endotherm,haemosporidian parasites,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,137,observational,cross-sectional,LC,no,NA,NA,primary 3 asymmetry,NA,raw quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,1,0.206809026,0.203910203,0.037476366,0.359336769,0.007462687
Renner et al. 2016 International Journal for Parasitology,CAS,Sylvia_atricapilla,bird,endotherm,haemosporidian parasites,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,137,observational,cross-sectional,LC,no,NA,NA,tarsus asymmetry,NA,raw quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,-1,-0.006323446,-0.006323362,-0.173854472,0.161563468,0.007462687
Renner et al. 2016 International Journal for Parasitology,CAS,Sylvia_atricapilla,bird,endotherm,haemosporidian parasites,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,137,observational,cross-sectional,LC,no,NA,NA,tarsus asymmetry,NA,raw quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,-1,-0.025432114,-0.025426632,-0.192321975,0.142898236,0.007462687
Renner et al. 2016 International Journal for Parasitology,CAS,Sylvia_atricapilla,bird,endotherm,haemosporidian parasites,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,137,observational,cross-sectional,LC,no,NA,NA,wing asymmetry,NA,raw quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,-1,-0.169801469,-0.168188137,-0.326688476,-0.000486368,0.007462687
Renner et al. 2016 International Journal for Parasitology,CAS,Sylvia_atricapilla,bird,endotherm,haemosporidian parasites,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,137,observational,cross-sectional,LC,no,NA,NA,wing asymmetry,NA,raw quantitative,body size,external,726312,NA,NA,NA,NA,NA,NA,NA,-1,-0.185301511,-0.183209364,-0.340463416,-0.015985049,0.007462687
Galvan et al. 2012 Journal of Avian Biology,CAS,Sylvia_borin,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,150,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,261410,NA,NA,NA,NA,NA,NA,NA,1,0.089236113,0.089,-0.072292656,0.245756237,0.006802721
Galvan et al. 2012 Journal of Avian Biology,CAS,Sylvia_communis,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,84,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,862895,NA,NA,NA,NA,NA,NA,NA,1,0.229970121,0.226,0.012195741,0.420042722,0.012345679
Galvan et al. 2012 Journal of Avian Biology,CAS,Sylvia_curruca,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,59,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,463174,NA,NA,NA,NA,NA,NA,NA,-1,-0.215264538,-0.212,-0.443978909,0.046612862,0.017857143
Galvan et al. 2012 Journal of Avian Biology,CAS,Sylvia_melanocephala,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,107,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,1093905,NA,NA,NA,NA,NA,NA,NA,1,0.183016366,0.181,-0.009173657,0.358537494,0.009615385
Galvan et al. 2012 Journal of Avian Biology,CAS,Sylvia_nisoria,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,16,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,961457,NA,NA,NA,NA,NA,NA,NA,1,0.155235044,0.154,-0.369946538,0.603625399,0.076923077
Anderson et al. 2013 International Journal for Parasitology,CST,Syncerus_caffer,mammal,endotherm,Amblyomma hebraeum and Rhipicephalus evertsi evertsi,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,166,observational,cross-sectional,LC,no,NA,NA,fat score,NA,qualitative,not body size,external,644255,1.476710255,-0.561347541,0,1,0,0,non-close,-1,-0.063663925,-0.063578052,-0.213828773,0.089611275,0.006134969
Gorsich et al. 2014 International Journal for Parasitology,CST,Syncerus_caffer,mammal,endotherm,Coccidia,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,1375,observational,cross-sectional,LC,no,NA,NA,fat score,NA,qualitative,not body size,external,644255,1.476710255,-0.561347541,NA,NA,NA,NA,NA,-1,-0.034729061,-0.034715105,-0.087419397,0.018182989,0.000728863
Ezenwa & Jolles 2008 Animal Behaviour,AKD,Syncerus_caffer,mammal,endotherm,coccidia,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,167,observational,cross-sectional,LC,yes,M,NA,"score between 1-5, based on visual inspection of 'fatness'",NA,qualitative,not body size,external,644255,1.476710255,-0.561347541,NA,NA,NA,NA,NA,-1,-0.014536725,-0.014535701,-0.166032787,0.137631708,0.006097561
Ezenwa & Jolles 2008 Animal Behaviour,AKD,Syncerus_caffer,mammal,endotherm,coccidia,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,226,observational,cross-sectional,LC,yes,F,NA,"score between 1-5, based on visual inspection of 'fatness'",NA,qualitative,not body size,external,644255,1.476710255,-0.561347541,NA,NA,NA,NA,NA,-1,-0.144570705,-0.143571846,-0.26903163,-0.013321021,0.004484305
Caron et al. 2003 Ecological Applications,CAS,Syncerus_caffer,mammal,endotherm,Mycobacterium bovis,bacterium,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,27,observational,cross-sectional,LC,yes,F,NA,1-5 BCI based on visual assessment of skeletal protrusion; averaged for females >5 yo to give a herd measure,NA,qualitative,not body size,external,644255,1.476710255,-0.561347541,1,1,0,0,multiple modes,-1,-0.707329989,-0.608999809,-0.803143527,-0.297936916,0.041666667
Budischak et al. 2012 International Journal for Parasitology: Parasites and Wildlife,CAS,Syncerus_caffer,mammal,endotherm,Nematoda: Trichostrongylidae,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,278,observational,cross-sectional,LC,yes,F,NA,body fat score,NA,qualitative,not body size,external,644255,1.476710255,-0.561347541,NA,NA,NA,NA,NA,-1,-0.042857662,-0.042831441,-0.159669896,0.075190432,0.003636364
